symbol,company_name
AKRA.JK,PT AKR Corporindo Tbk.
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
ELSA.JK,Elnusa Tbk
INTP.JK,Indocement Tunggal Prakarsa Tbk
ISAT.JK,PT Indosat Tbk
JSMR.JK,PT Jasa Marga Tbk
MEDC.JK,PT Medco Energi Internasional Tbk
MIKA.JK,PT Mitra Keluarga Karyasehat Tbk
PGAS.JK,PT Perusahaan Gas Negara Tbk
PGEO.JK,PT Pertamina Geothermal Energy Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
SSIA.JK,PT Surya Semesta Internusa Tbk
TLKM.JK,PT Telkom Indonesia (Persero) Tbk
TOWR.JK,Sarana Menara Nusantara Tbk
UNTR.JK,United Tractors Tbk
WIFI.JK,PT Solusi Sinergi Digital Tbk
