symbol,company_name
ADRO.JK,Alamtri Resources Indonesia Tbk
AKRA.JK,PT AKR Corporindo Tbk.
BBCA.JK,PT Bank Central Asia Tbk.
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
CTRA.JK,Ciputra Development Tbk
DSNG.JK,PT Dharma Satya Nusantara Tbk
EMTK.JK,Elang Mahkota Teknologi Tbk
ENRG.JK,Energi Mega Persada Tbk
ERAA.JK,Erajaya Swasembada Tbk
ESSA.JK,ESSA Industries Indonesia Tbk
HRTA.JK,PT Hartadinata Abadi Tbk
ICBP.JK,Indofood CBP Sukses Makmur Tbk
INCO.JK,Vale Indonesia Tbk
INDF.JK,Indofood Sukses Makmur Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
ISAT.JK,PT Indosat Tbk
ITMG.JK,Indo Tambangraya Megah Tbk
JPFA.JK,JAPFA Comfeed Indonesia Tbk
KIJA.JK,Kawasan Industri Jababeka Tbk
MAPA.JK,PT MAP Aktif Adiperkasa Tbk
MEDC.JK,PT Medco Energi Internasional Tbk
PGAS.JK,PT Perusahaan Gas Negara Tbk
RAJA.JK,Rukun Raharja Tbk
SCMA.JK,Surya Citra Media Tbk
TAPG.JK,PT Triputra Agro Persada Tbk
TLKM.JK,PT Telkom Indonesia (Persero) Tbk
UNTR.JK,United Tractors Tbk
WIFI.JK,PT Solusi Sinergi Digital Tbk
